,current position1-firm name,current position1-firm type,current position1-title,current position1-location,current position1-industry,current position1-since,current position1-companylink,current position2-firm name,current position2-firm type,current position2-title,current position2-location,current position2-industry,current position2-since,current position2-companylink,current position3-firm name,current position3-firm type,current position3-title,current position3-location,current position3-industry,current position3-since,current position3-companylink,current position4-firm name,current position4-firm type,current position4-title,current position4-location,current position4-industry,current position4-since,current position4-companylink,current position5-firm name,current position5-firm type,current position5-title,current position5-location,current position5-industry,current position5-since,current position5-companylink,current position6-firm name,current position6-firm type,current position6-title,current position6-location,current position6-industry,current position6-since,current position6-companylink,current position7-firm name,current position7-firm type,current position7-title,current position7-location,current position7-industry,current position7-since,current position7-companylink,current position8-firm name,current position8-firm type,current position8-title,current position8-location,current position8-industry,current position8-since,current position8-companylink,current position9-firm name,current position9-firm type,current position9-title,current position9-location,current position9-industry,current position9-since,current position9-companylink,current position10-firm name,current position10-firm type,current position10-title,current position10-location,current position10-industry,current position10-since,current position10-companylink
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Lumi (Media and Information Services (B2B)),COMPANY,"Co-Founder, Board Member & Chief Executive Officer","Los Angeles, CA",Media and Information Services (B2B),2010-01-01,https://my.pitchbook.com/profile/110586-07/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Lumi (Media and Information Services (B2B)),COMPANY,"Co-Founder, Board Member & Chief Product Officer","Los Angeles, CA",Media and Information Services (B2B),2010-01-01,https://my.pitchbook.com/profile/110586-07/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Industrious,COMPANY,Co-Founder & Chief Executive Officer,"New York, NY",Buildings and Property,2013-01-01,https://my.pitchbook.com/profile/101710-18/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Industrious,COMPANY,"Co-Founder, President & Board Member","New York, NY",Buildings and Property,2013-01-01,https://my.pitchbook.com/profile/101710-18/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NavPrescience,COMPANY,Co-Founder,"Wilmington, DE",Other Software,2009-01-01,https://my.pitchbook.com/profile/91894-96/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cambridge Semantics,COMPANY,"Co-Founder, Chief Technology Officer & Board Member","Boston, MA",Business/Productivity Software,2007-01-01,https://my.pitchbook.com/profile/108445-96/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Salsify,COMPANY,Executive Vice President of Customer Success,"Boston, MA",Business/Productivity Software,2014-08-01,https://my.pitchbook.com/profile/58998-25/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AGADA Biosciences,COMPANY,"Co-Founder, Chief Executive Officer & President","Halifax, Canada",Other Healthcare Technology Systems,2013-01-01,https://my.pitchbook.com/profile/107130-61/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Agora (Communication Software),COMPANY,Co-Founder & Head of APAC & Emerging Markets,"Santa Clara, CA",Communication Software,2014-03-28,https://my.pitchbook.com/profile/111656-80/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Autolist,COMPANY,"Co-Founder, President, Chief Executive Officer & Board Member","San Francisco, CA",Automotive,2014-01-01,https://my.pitchbook.com/profile/107002-54/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Agora (Communication Software),COMPANY,Chief Executive Officer & Chairman,"Santa Clara, CA",Communication Software,2013-01-01,https://my.pitchbook.com/profile/111656-80/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Mission Microwave,COMPANY,"Co-Founder, President & Chief Executive Officer","Cypress, CA",Application Specific Semiconductors,2014-01-01,https://my.pitchbook.com/profile/106959-43/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ROKA,COMPANY,"Co-Founder, Chief Marketing Officer & Board Member","Austin, TX",Other Apparel,2011-01-01,https://my.pitchbook.com/profile/93488-59/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Zepto (Surgical Devices),COMPANY,Co-Founder & Chief Technology Officer,"Carlsbad, CA",Surgical Devices,2008-01-01,https://my.pitchbook.com/profile/106959-07/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hospi,COMPANY,"Co-Founder, President and Board Member","Newark, CA",Therapeutic Devices,2012-01-01,https://my.pitchbook.com/profile/106959-52/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,xiQ,COMPANY,"Founder, Chief Executive Officer & Board Member","Redwood City, CA",Business/Productivity Software,2013-01-01,https://my.pitchbook.com/profile/182857-60/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Evo (Internet Retail),COMPANY,"Founder, Board Member & Chief Executive Officer","Seattle, WA",Internet Retail,2001-01-01,https://my.pitchbook.com/profile/91765-81/company/profile,Evolution Projects,INVESTOR,Partner,"Seattle, WA",,,https://my.pitchbook.com/profile/122494-78/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Elo Life Systems,COMPANY,Co-Founder,"Durham, NC",Biotechnology,2006-01-01,https://my.pitchbook.com/profile/300242-53/company/profile,Precision BioSciences,COMPANY,Chief Executive Officer & Founder,"Durham, NC",Biotechnology,2006-01-01,https://my.pitchbook.com/profile/102459-88/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Elo Life Systems,COMPANY,Co-Founder,"Durham, NC",Biotechnology,2006-01-01,https://my.pitchbook.com/profile/300242-53/company/profile,Precision BioSciences,COMPANY,Co-Founder & Chief Technology Officer,"Durham, NC",Biotechnology,2006-01-01,https://my.pitchbook.com/profile/102459-88/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Elo Life Systems,COMPANY,Co-Founder,"Durham, NC",Biotechnology,2006-01-01,https://my.pitchbook.com/profile/300242-53/company/profile,Precision BioSciences,COMPANY,Chief Scientific Officer & Founder,"Durham, NC",Biotechnology,2006-01-01,https://my.pitchbook.com/profile/102459-88/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Tilt Five,COMPANY,Co-Founder & Chief Executive Officer,"San Jose, CA",Recreational Goods,2017-01-01,https://my.pitchbook.com/profile/438500-62/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,EverythingBenefits,COMPANY,"Co-Founder, Board Member & Chief Technology Officer","New Providence, NJ",Business/Productivity Software,2015-01-01,https://my.pitchbook.com/profile/97868-98/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,EverythingBenefits,COMPANY,"Co-Founder, Chief Information and Security Officer and Board Member","New Providence, NJ",Business/Productivity Software,2014-01-01,https://my.pitchbook.com/profile/97868-98/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Stellarray,COMPANY,President & Chief Executive Officer,"Austin, TX",Diagnostic Equipment,2007-12-01,https://my.pitchbook.com/profile/89808-85/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tersus Solutions,COMPANY,"Chief Technology Officer, Co-Founder and Board Member","Denver, CO",Other Commercial Services,2009-01-01,https://my.pitchbook.com/profile/85764-88/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Pipeline Micro,COMPANY,Co-Founder & Chief Executive Officer (Asia),"Honolulu, HI",Other Commercial Products,,https://my.pitchbook.com/profile/90895-78/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Perthera,COMPANY,"Co-Founder, Chairman & Chief Science Officer","Holliston, MA",Biotechnology,2012-01-01,https://my.pitchbook.com/profile/62081-74/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,College Hunks Hauling Junk,COMPANY,Co-Founder,"Tampa, FL",Environmental Services (B2B),2003-01-01,https://my.pitchbook.com/profile/112635-91/company/profile,Trash Butler,COMPANY,Chief Executive Officer & Co-Founder,"Tampa, FL",Environmental Services (B2B),2011-01-01,https://my.pitchbook.com/profile/266600-08/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,College Hunks Hauling Junk,COMPANY,"Co-Founder, Owner and President","Tampa, FL",Environmental Services (B2B),,https://my.pitchbook.com/profile/112635-91/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Factom,COMPANY,"Co-Founder, Chief Executive Officer & Board Member","Austin, TX",Software Development Applications,2014-01-01,https://my.pitchbook.com/profile/113934-79/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
