,former position1-firm name,former position1-firm type,former position1-title,former position1-location,former position1-industry,former position1-since,former position1-companylink,former position2-firm name,former position2-firm type,former position2-title,former position2-location,former position2-industry,former position2-since,former position2-companylink,former position3-firm name,former position3-firm type,former position3-title,former position3-location,former position3-industry,former position3-since,former position3-companylink,former position4-firm name,former position4-firm type,former position4-title,former position4-location,former position4-industry,former position4-since,former position4-companylink,former position5-firm name,former position5-firm type,former position5-title,former position5-location,former position5-industry,former position5-since,former position5-companylink,former position6-firm name,former position6-firm type,former position6-title,former position6-location,former position6-industry,former position6-since,former position6-companylink,former position7-firm name,former position7-firm type,former position7-title,former position7-location,former position7-industry,former position7-since,former position7-companylink,former position8-firm name,former position8-firm type,former position8-title,former position8-location,former position8-industry,former position8-since,former position8-companylink,former position9-firm name,former position9-firm type,former position9-title,former position9-location,former position9-industry,former position9-since,former position9-companylink,former position10-firm name,former position10-firm type,former position10-title,former position10-location,former position10-industry,former position10-since,former position10-companylink
40,Parkloco,COMPANY,"Co-Founder, Board Member & Chief Executive Officer","Boston, MA",Business/Productivity Software,2014-06-01,https://my.pitchbook.com/profile/98753-05/company/profile,Volley Automation,COMPANY,Chief Operating Officer,"South San Francisco, CA",Automotive,,https://my.pitchbook.com/profile/267687-64/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,XiQ (online information management),COMPANY,Founder & Chief Executive Officer,"Saratoga, CA",Media and Information Services (B2B),2014-06-01,https://my.pitchbook.com/profile/106932-88/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Precision BioSciences,COMPANY,Chief Financial Officer & Chief Operations Officer,"Durham, NC",Biotechnology,2006-06-01,https://my.pitchbook.com/profile/102459-88/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CastAR,COMPANY,Co-Founder,"Palo Alto, CA",Entertainment Software,2013-02-01,https://my.pitchbook.com/profile/97869-52/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,EverythingBenefits,COMPANY,"Co-Founder, President, Chief Executive Officer and Chairwoman","New Providence, NJ",Business/Productivity Software,2015-01-01,https://my.pitchbook.com/profile/97868-98/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CastAR,COMPANY,Co-Founder & Chief Software Engineer,"Palo Alto, CA",Entertainment Software,2013-02-01,https://my.pitchbook.com/profile/97869-52/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Revolution Cleaners,COMPANY,Co-Founder & General Manager,"Denver, CO",Other Services (B2C Non-Financial),2004-01-01,https://my.pitchbook.com/profile/100080-37/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Fluent City,COMPANY,"Co-Founder, Chief Executive Officer & Chairman","Brooklyn, NY",Educational Software,2011-01-01,https://my.pitchbook.com/profile/97867-81/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Fluent City,COMPANY,Co-Founder & Chief Product Officer,"Brooklyn, NY",Educational Software,2007-01-01,https://my.pitchbook.com/profile/97867-81/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Free Range Games,COMPANY,Director of Products,"Sausalito, CA",Entertainment Software,2011-08-01,https://my.pitchbook.com/profile/125281-36/company/profile,Pipeline Micro,COMPANY,Chief Executive Officer & Co-Founder,"Honolulu, HI",Other Commercial Products,2005-06-01,https://my.pitchbook.com/profile/90895-78/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Trash Butler,COMPANY,Co-Founder & President,"Tampa, FL",Environmental Services (B2B),2011-01-01,https://my.pitchbook.com/profile/266600-08/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Texas Bitcoin Conference,COMPANY,President & Co-Chairman,"Austin, TX",Other Financial Services,2013-12-01,https://my.pitchbook.com/profile/63970-75/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Eureka! Restaurant Group,COMPANY,Co-Founder & Chief Executive Officer,"Hawthorne, CA",Restaurants and Bars,2009-01-01,https://my.pitchbook.com/profile/112953-25/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Firefly Aerospace,COMPANY,"Co-Founder & Vice President, Business Development","Cedar Park, TX",Aerospace and Defense,2014-01-01,https://my.pitchbook.com/profile/104038-66/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Firefly Aerospace,COMPANY,Co-Founder & Board Member,"Cedar Park, TX",Aerospace and Defense,2014-01-01,https://my.pitchbook.com/profile/104038-66/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Firefly Aerospace,COMPANY,Chief Technical Officer,"Cedar Park, TX",Aerospace and Defense,,https://my.pitchbook.com/profile/104038-66/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Imagitas,COMPANY,President,"Waltham, MA",Media and Information Services (B2B),2013-03-01,https://my.pitchbook.com/profile/42143-41/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
